R_B1,R_B2,R_B3,R_B4,R_B5,R_B6,R_B7,R_B8,G_B1,G_B2,G_B3,G_B4,G_B5,G_B6,G_B7,G_B8,B_B1,B_B2,B_B3,B_B4,B_B5,B_B6,B_B7,B_B8,BLB
0.138771429,3.230728157,0.458508109,0.6683,1.044999999,0.576512909,17.66081564,443.1453182,0.126162857,3.337168051,0.368701641,0.634542858,1.143714284,0.897685021,18.98171732,383.3648037,0.139222857,3.176632495,0.435205199,0.659957141,1.019857145,0.787452345,13.57592202,140.6574909,3
0.139308186,3.249044167,0.412943547,0.660000001,1.103629894,0.566883762,20.92278525,375.3356669,0.130206406,3.322552054,0.426249344,0.637110321,1.170249108,0.35372276,19.85046092,331.8059813,0.151387901,3.114955391,0.418624508,0.664170817,1.088113879,0.352089737,12.87689619,94.53058956,3
0.162167742,3.00544231,0.447223546,0.685835126,0.893620072,0.101857717,9.603260914,329.2155941,0.155546953,3.075126527,0.429625275,0.662738352,0.985232975,-0.147588128,10.41541392,295.1116554,0.147653047,3.082506692,0.368739413,0.646150539,1.006021505,0.201854621,9.038281418,107.430858,3
0.202534286,2.736515922,0.763631112,0.745885712,0.688571428,-0.114283883,7.935390325,263.4737531,0.21553143,2.678792887,0.73150588,0.755285713,0.677999998,0.075454629,7.61402754,237.7205111,0.211577143,2.676296657,0.661798572,0.740914285,0.650857145,0.08949806,6.45010145,75.30667153,3
0.20271828,2.768773537,0.528179152,0.703311831,0.757849464,0.002499441,6.878931705,279.931022,0.187948388,2.801517639,0.59130519,0.702982079,0.733046594,-0.03024929,7.683786227,255.712409,0.185063799,2.833678255,0.495240787,0.697921147,0.808888891,0.183794236,6.716975301,81.31352808,3
0.193107474,2.795228868,0.617177751,0.730277582,0.669608544,0.581880255,10.45915567,357.8324593,0.199490392,2.726962591,0.619233032,0.724782918,0.659074733,0.387520229,8.207696323,271.7720462,0.219074733,2.70008401,0.647691722,0.734277581,0.691672598,0.683126431,7.979720763,99.8984525,5
0.1509,3.139501111,0.56852619,0.699185715,0.896142856,0.612318177,14.74606007,368.596519,0.143437143,3.167088837,0.493026984,0.664157144,0.989857144,0.718447538,13.83803382,321.5965417,0.148251429,3.101974915,0.536404279,0.673228572,0.884285713,0.47522468,13.20468779,126.3044173,3
0.168859364,2.951081474,0.535748655,0.704353356,0.792791518,0.303711436,10.38193715,340.9188951,0.175098233,2.954210644,0.471450612,0.693554771,0.817102474,0.559170489,10.17357654,261.2475787,0.186272791,2.893818466,0.557223208,0.703166079,0.782614841,0.45806858,10.54054798,97.59133808,3
0.14275901,3.181388223,0.36828277,0.636890459,1.128197879,0.15354165,17.50157563,342.4627809,0.122275618,3.323264385,0.376154788,0.62383039,1.165512366,0.282463898,18.4996203,283.4388745,0.154818375,3.072255227,0.462870748,0.674586573,0.98869258,0.411148672,14.54623474,113.9950311,3
0.17270605,2.992841258,0.540381165,0.696085409,0.864056941,0.097257221,11.10494781,412.398921,0.154846976,3.101946584,0.516165049,0.685807829,0.916725982,0.647966521,12.79277081,334.6056627,0.151937367,3.025985888,0.500499307,0.68808541,0.845551602,0.284351318,9.736210952,118.2220785,5
0.217668818,2.623746063,0.785619229,0.756157705,0.579211469,0.200893934,7.198821801,293.0945642,0.213946954,2.615436389,0.829867889,0.765261649,0.579928314,0.281221502,6.211806224,265.7463686,0.215721864,2.567029162,0.815477703,0.758093189,0.575340501,0.189459268,5.307670634,107.9876361,3
0.195116846,2.720274501,0.609501683,0.724960574,0.678422938,0.174395183,6.082295021,261.771832,0.190207886,2.812686147,0.590871363,0.723799282,0.707240143,0.096345462,6.861164927,241.2037066,0.189895341,2.794892336,0.623595996,0.727340502,0.695340504,0.016631743,6.251903862,93.67013664,3
0.176817267,2.986226376,0.619508231,0.693741008,0.859424459,0.519920803,12.54423796,357.805818,0.172253238,2.987579105,0.547538334,0.690359712,0.857553953,0.463935538,11.91131075,283.271862,0.19657554,2.844506971,0.585375925,0.701482012,0.814244604,0.499618537,9.561858324,110.9805033,3
